Edge TPU Compiler version 16.0.384591198
Input: models/squirrelnet_ssd_mobilenet_v2_fpnlite_320x320_coco17_tpu-8/tflite/squirrelnet-normalised.tflite
Output: models/squirrelnet_ssd_mobilenet_v2_fpnlite_320x320_coco17_tpu-8/edgetpu/squirrelnet-normalised_edgetpu.tflite

Operator                       Count      Status

LOGISTIC                       1          More than one subgraph is not supported
DEPTHWISE_CONV_2D              14         More than one subgraph is not supported
DEPTHWISE_CONV_2D              37         Mapped to Edge TPU
QUANTIZE                       8          Operation is otherwise supported, but not mapped due to some unspecified limitation
QUANTIZE                       1          Mapped to Edge TPU
CONV_2D                        14         More than one subgraph is not supported
CONV_2D                        58         Mapped to Edge TPU
DEQUANTIZE                     2          Operation is working on an unsupported data type
ADD                            2          More than one subgraph is not supported
ADD                            10         Mapped to Edge TPU
CUSTOM                         1          Operation is working on an unsupported data type
CONCATENATION                  2          More than one subgraph is not supported
PACK                           4          Tensor has unsupported rank (up to 3 innermost dimensions mapped)
RESHAPE                        4          Tensor has unsupported rank (up to 3 innermost dimensions mapped)
RESHAPE                        6          Mapped to Edge TPU
RESHAPE                        4          More than one subgraph is not supported
